学生id,uid,总交互次数,去重习题数,去重知识点数,重复做题次数,重复做过的习题数,答对次数,答错次数,答对率,习题覆盖率,知识点覆盖率
uid395,395,64,63,32,1,1,15,49,0.234375,0.066456,0.561404
uid396,396,117,113,44,4,4,28,89,0.239316,0.119198,0.771930
uid397,397,74,74,36,0,0,24,50,0.324324,0.078059,0.631579
uid398,398,153,152,45,1,1,109,44,0.712418,0.160338,0.789474
uid399,399,98,98,43,0,0,55,43,0.561224,0.103376,0.754386
uid400,400,143,142,45,1,1,37,106,0.258741,0.149789,0.789474
uid401,401,159,156,44,3,3,97,62,0.610063,0.164557,0.771930
uid402,402,54,53,28,1,1,31,23,0.574074,0.055907,0.491228
uid403,403,193,191,49,2,2,70,123,0.362694,0.201477,0.859649
uid404,404,64,64,33,0,0,51,13,0.796875,0.067511,0.578947
uid405,405,161,160,42,1,1,72,89,0.447205,0.168776,0.736842
uid406,406,83,80,35,3,3,48,35,0.578313,0.084388,0.614035
uid407,407,13,12,11,1,1,8,5,0.615385,0.012658,0.192982
uid408,408,133,131,42,2,2,47,86,0.353383,0.138186,0.736842
uid409,409,133,132,43,1,1,60,73,0.451128,0.139241,0.754386
uid410,410,182,181,46,1,1,47,135,0.258242,0.190928,0.807018
uid411,411,191,191,50,0,0,140,51,0.732984,0.201477,0.877193
uid412,412,58,56,29,2,2,17,41,0.293103,0.059072,0.508772
uid413,413,195,190,49,5,5,52,143,0.266667,0.200422,0.859649
uid414,414,132,131,43,1,1,29,103,0.219697,0.138186,0.754386
uid415,415,109,108,41,1,1,82,27,0.752294,0.113924,0.719298
uid416,416,80,79,38,1,1,53,27,0.662500,0.083333,0.666667
uid417,417,111,109,44,2,2,53,58,0.477477,0.114979,0.771930
uid418,418,152,148,50,4,4,73,79,0.480263,0.156118,0.877193
uid419,419,180,179,47,1,1,51,129,0.283333,0.188819,0.824561
uid420,420,106,104,46,2,2,67,39,0.632075,0.109705,0.807018
uid421,421,17,17,13,0,0,4,13,0.235294,0.017932,0.228070
uid422,422,120,119,44,1,1,75,45,0.625000,0.125527,0.771930
uid423,423,39,39,25,0,0,33,6,0.846154,0.041139,0.438596
uid424,424,105,101,42,4,4,43,62,0.409524,0.106540,0.736842
uid425,425,86,85,34,1,1,35,51,0.406977,0.089662,0.596491
uid426,426,71,67,37,4,4,50,21,0.704225,0.070675,0.649123
uid427,427,133,131,40,2,2,73,60,0.548872,0.138186,0.701754
uid428,428,58,58,33,0,0,33,25,0.568966,0.061181,0.578947
uid429,429,101,100,39,1,1,70,31,0.693069,0.105485,0.684211
uid430,430,90,89,41,1,1,54,36,0.600000,0.093882,0.719298
uid431,431,64,64,32,0,0,21,43,0.328125,0.067511,0.561404
uid432,432,159,158,46,1,1,45,114,0.283019,0.166667,0.807018
uid433,433,149,148,45,1,1,61,88,0.409396,0.156118,0.789474
uid434,434,66,66,34,0,0,13,53,0.196970,0.069620,0.596491
uid435,435,137,137,44,0,0,67,70,0.489051,0.144515,0.771930
uid436,436,166,164,47,2,2,84,82,0.506024,0.172996,0.824561
uid437,437,83,82,37,1,1,38,45,0.457831,0.086498,0.649123
uid438,438,61,60,32,1,1,46,15,0.754098,0.063291,0.561404
uid439,439,69,68,34,1,1,28,41,0.405797,0.071730,0.596491
uid440,440,107,107,44,0,0,56,51,0.523364,0.112869,0.771930
uid441,441,191,190,48,1,1,62,129,0.324607,0.200422,0.842105
uid442,442,30,27,21,3,3,9,21,0.300000,0.028481,0.368421
uid443,443,15,14,11,1,1,7,8,0.466667,0.014768,0.192982
uid444,444,63,63,34,0,0,56,7,0.888889,0.066456,0.596491
uid445,445,62,62,31,0,0,49,13,0.790323,0.065401,0.543860
uid446,446,112,109,45,3,3,23,89,0.205357,0.114979,0.789474
uid447,447,54,54,32,0,0,41,13,0.759259,0.056962,0.561404
uid448,448,109,108,45,1,1,41,68,0.376147,0.113924,0.789474
uid449,449,13,12,12,1,1,2,11,0.153846,0.012658,0.210526
uid450,450,90,88,36,2,2,26,64,0.288889,0.092827,0.631579
uid451,451,28,28,22,0,0,12,16,0.428571,0.029536,0.385965
uid452,452,128,127,44,1,1,71,57,0.554688,0.133966,0.771930
uid453,453,63,62,31,1,1,6,57,0.095238,0.065401,0.543860
uid454,454,155,154,47,1,1,68,87,0.438710,0.162447,0.824561
uid455,455,106,105,39,1,1,76,30,0.716981,0.110759,0.684211
uid456,456,93,92,39,1,1,80,13,0.860215,0.097046,0.684211
uid457,457,128,127,44,1,1,59,69,0.460938,0.133966,0.771930
uid458,458,152,150,46,2,2,41,111,0.269737,0.158228,0.807018
uid459,459,91,89,39,2,2,88,3,0.967033,0.093882,0.684211
uid460,460,159,158,47,1,1,140,19,0.880503,0.166667,0.824561
uid461,461,58,55,32,3,3,27,31,0.465517,0.058017,0.561404
uid462,462,137,135,45,2,2,25,112,0.182482,0.142405,0.789474
uid463,463,173,172,45,1,1,95,78,0.549133,0.181435,0.789474
uid464,464,195,191,45,4,4,50,145,0.256410,0.201477,0.789474
uid465,465,10,10,8,0,0,7,3,0.700000,0.010549,0.140351
uid466,466,142,139,46,3,3,106,36,0.746479,0.146624,0.807018
uid467,467,89,87,41,2,2,71,18,0.797753,0.091772,0.719298
uid468,468,40,37,27,3,3,22,18,0.550000,0.039030,0.473684
uid469,469,157,157,46,0,0,134,23,0.853503,0.165612,0.807018
uid470,470,193,193,49,0,0,148,45,0.766839,0.203586,0.859649
uid471,471,184,182,46,2,2,91,93,0.494565,0.191983,0.807018
uid472,472,115,113,42,2,2,61,54,0.530435,0.119198,0.736842
uid473,473,107,107,44,0,0,73,34,0.682243,0.112869,0.771930
uid474,474,53,52,31,1,1,20,33,0.377358,0.054852,0.543860
uid475,475,101,101,39,0,0,69,32,0.683168,0.106540,0.684211
uid476,476,140,139,41,1,1,34,106,0.242857,0.146624,0.719298
uid477,477,98,97,41,1,1,58,40,0.591837,0.102321,0.719298
uid478,478,152,151,45,1,1,109,43,0.717105,0.159283,0.789474
uid479,479,46,46,31,0,0,33,13,0.717391,0.048523,0.543860
uid480,480,107,106,39,1,1,45,62,0.420561,0.111814,0.684211
uid481,481,124,122,40,2,2,117,7,0.943548,0.128692,0.701754
uid482,482,147,146,46,1,1,47,100,0.319728,0.154008,0.807018
uid483,483,65,64,33,1,1,28,37,0.430769,0.067511,0.578947
uid484,484,78,78,39,0,0,59,19,0.756410,0.082278,0.684211
uid485,485,79,75,35,4,4,27,52,0.341772,0.079114,0.614035
uid486,486,165,165,47,0,0,117,48,0.709091,0.174051,0.824561
uid487,487,185,182,45,3,3,91,94,0.491892,0.191983,0.789474
uid488,488,169,163,50,6,6,83,86,0.491124,0.171941,0.877193
uid489,489,66,64,33,2,2,36,30,0.545455,0.067511,0.578947
uid490,490,109,105,42,4,4,44,65,0.403670,0.110759,0.736842
uid491,491,30,30,20,0,0,22,8,0.733333,0.031646,0.350877
uid492,492,185,184,48,1,1,73,112,0.394595,0.194093,0.842105
uid493,493,166,162,45,4,4,58,108,0.349398,0.170886,0.789474
uid494,494,130,129,44,1,1,74,56,0.569231,0.136076,0.771930
uid495,495,173,172,47,1,1,109,64,0.630058,0.181435,0.824561
uid496,496,115,114,42,1,1,31,84,0.269565,0.120253,0.736842
uid497,497,150,149,46,1,1,53,97,0.353333,0.157173,0.807018
uid498,498,195,194,50,1,1,142,53,0.728205,0.204641,0.877193
uid499,499,107,107,44,0,0,73,34,0.682243,0.112869,0.771930
uid500,500,19,18,17,1,1,11,8,0.578947,0.018987,0.298246
uid501,501,12,12,11,0,0,3,9,0.250000,0.012658,0.192982
uid502,502,79,78,38,1,1,35,44,0.443038,0.082278,0.666667
uid503,503,143,142,45,1,1,93,50,0.650350,0.149789,0.789474
uid504,504,73,73,36,0,0,34,39,0.465753,0.077004,0.631579
uid505,505,58,57,28,1,1,45,13,0.775862,0.060127,0.491228
uid506,506,76,75,40,1,1,46,30,0.605263,0.079114,0.701754
uid507,507,65,65,34,0,0,37,28,0.569231,0.068565,0.596491
uid508,508,101,97,37,4,4,66,35,0.653465,0.102321,0.649123
uid509,509,110,109,45,1,1,57,53,0.518182,0.114979,0.789474
uid510,510,79,75,36,4,4,50,29,0.632911,0.079114,0.631579
uid511,511,131,131,45,0,0,63,68,0.480916,0.138186,0.789474
uid512,512,184,181,46,3,3,94,90,0.510870,0.190928,0.807018
uid513,513,181,179,46,2,2,54,127,0.298343,0.188819,0.807018
uid514,514,169,166,47,3,3,70,99,0.414201,0.175105,0.824561
uid515,515,126,124,42,2,2,51,75,0.404762,0.130802,0.736842
uid516,516,118,118,43,0,0,39,79,0.330508,0.124473,0.754386
uid517,517,125,124,43,1,1,46,79,0.368000,0.130802,0.754386
uid518,518,152,149,45,3,3,63,89,0.414474,0.157173,0.789474
uid519,519,107,107,44,0,0,54,53,0.504673,0.112869,0.771930
uid520,520,127,126,41,1,1,84,43,0.661417,0.132911,0.719298
uid521,521,163,162,47,1,1,135,28,0.828221,0.170886,0.824561
uid522,522,62,61,34,1,1,43,19,0.693548,0.064346,0.596491
uid523,523,103,101,41,2,2,78,25,0.757282,0.106540,0.719298
uid524,524,193,191,49,2,2,136,57,0.704663,0.201477,0.859649
uid525,525,95,95,43,0,0,31,64,0.326316,0.100211,0.754386
uid526,526,68,68,31,0,0,17,51,0.250000,0.071730,0.543860
uid527,527,94,91,39,3,3,74,20,0.787234,0.095992,0.684211
uid528,528,191,189,46,2,2,80,111,0.418848,0.199367,0.807018
uid529,529,159,158,47,1,1,103,56,0.647799,0.166667,0.824561
uid530,530,33,33,25,0,0,17,16,0.515152,0.034810,0.438596
uid531,531,71,71,38,0,0,34,37,0.478873,0.074895,0.666667
uid532,532,83,81,36,2,2,29,54,0.349398,0.085443,0.631579
uid533,533,98,98,40,0,0,34,64,0.346939,0.103376,0.701754
uid534,534,194,189,46,5,5,53,141,0.273196,0.199367,0.807018
uid535,535,148,147,47,1,1,90,58,0.608108,0.155063,0.824561
uid536,536,115,115,44,0,0,92,23,0.800000,0.121308,0.771930
uid537,537,117,116,39,1,1,58,59,0.495726,0.122363,0.684211
uid538,538,72,71,34,1,1,23,49,0.319444,0.074895,0.596491
uid539,539,62,60,30,2,2,51,11,0.822581,0.063291,0.526316
uid540,540,60,59,32,1,1,33,27,0.550000,0.062236,0.561404
uid541,541,161,158,46,3,3,65,96,0.403727,0.166667,0.807018
uid542,542,68,66,36,2,2,43,25,0.632353,0.069620,0.631579
uid543,543,107,107,41,0,0,107,0,1.000000,0.112869,0.719298
uid544,544,32,32,19,0,0,12,20,0.375000,0.033755,0.333333
uid545,545,121,120,41,1,1,101,20,0.834711,0.126582,0.719298
uid546,546,63,63,37,0,0,36,27,0.571429,0.066456,0.649123
uid547,547,136,135,45,1,1,48,88,0.352941,0.142405,0.789474
uid548,548,86,85,34,1,1,42,44,0.488372,0.089662,0.596491
uid549,549,57,57,34,0,0,14,43,0.245614,0.060127,0.596491
uid550,550,84,83,36,1,1,45,39,0.535714,0.087553,0.631579
uid551,551,107,107,44,0,0,91,16,0.850467,0.112869,0.771930
uid552,552,164,161,43,3,3,79,85,0.481707,0.169831,0.754386
uid553,553,129,128,43,1,1,72,57,0.558140,0.135021,0.754386
uid554,554,14,12,11,2,2,5,9,0.357143,0.012658,0.192982
uid555,555,63,62,34,1,1,22,41,0.349206,0.065401,0.596491
uid556,556,21,21,18,0,0,10,11,0.476190,0.022152,0.315789
uid557,557,134,132,44,2,2,53,81,0.395522,0.139241,0.771930
uid558,558,159,158,47,1,1,114,45,0.716981,0.166667,0.824561
uid559,559,151,148,44,3,3,83,68,0.549669,0.156118,0.771930
uid560,560,119,118,42,1,1,53,66,0.445378,0.124473,0.736842
uid561,561,58,57,28,1,1,18,40,0.310345,0.060127,0.491228
uid562,562,53,52,30,1,1,26,27,0.490566,0.054852,0.526316
uid563,563,194,193,49,1,1,51,143,0.262887,0.203586,0.859649
uid564,564,47,47,33,0,0,15,32,0.319149,0.049578,0.578947
uid565,565,60,60,31,0,0,28,32,0.466667,0.063291,0.543860
uid566,566,104,103,42,1,1,29,75,0.278846,0.108650,0.736842
uid567,567,94,92,36,2,2,21,73,0.223404,0.097046,0.631579
uid568,568,132,132,46,0,0,77,55,0.583333,0.139241,0.807018
uid569,569,162,161,45,1,1,162,0,1.000000,0.169831,0.789474
uid570,570,152,151,45,1,1,57,95,0.375000,0.159283,0.789474
uid571,571,66,65,34,1,1,44,22,0.666667,0.068565,0.596491
uid572,572,72,71,34,1,1,20,52,0.277778,0.074895,0.596491
uid573,573,107,107,45,0,0,50,57,0.467290,0.112869,0.789474
uid574,574,117,114,38,3,3,54,63,0.461538,0.120253,0.666667
uid575,575,123,121,44,2,2,85,38,0.691057,0.127637,0.771930
uid576,576,135,134,42,1,1,72,63,0.533333,0.141350,0.736842
uid577,577,107,101,45,6,6,33,74,0.308411,0.106540,0.789474
uid578,578,147,146,47,1,1,122,25,0.829932,0.154008,0.824561
uid579,579,178,174,49,4,4,56,122,0.314607,0.183544,0.859649
uid580,580,70,69,37,1,1,30,40,0.428571,0.072785,0.649123
uid581,581,51,50,28,1,1,44,7,0.862745,0.052743,0.491228
uid582,582,114,112,41,2,2,67,47,0.587719,0.118143,0.719298
uid583,583,70,68,31,2,2,29,41,0.414286,0.071730,0.543860
uid584,584,108,107,40,1,1,37,71,0.342593,0.112869,0.701754
uid585,585,118,117,40,1,1,82,36,0.694915,0.123418,0.701754
uid586,586,109,108,41,1,1,80,29,0.733945,0.113924,0.719298
uid587,587,165,162,48,3,3,32,133,0.193939,0.170886,0.842105
uid588,588,148,143,48,5,5,60,88,0.405405,0.150844,0.842105
uid589,589,71,71,36,0,0,33,38,0.464789,0.074895,0.631579
uid590,590,177,176,48,1,1,102,75,0.576271,0.185654,0.842105
uid591,591,36,35,24,1,1,21,15,0.583333,0.036920,0.421053
uid592,592,52,51,26,1,1,20,32,0.384615,0.053797,0.456140
uid593,593,53,53,30,0,0,23,30,0.433962,0.055907,0.526316
uid594,594,110,109,45,1,1,71,39,0.645455,0.114979,0.789474
uid595,595,51,48,30,3,3,15,36,0.294118,0.050633,0.526316
uid596,596,144,143,47,1,1,122,22,0.847222,0.150844,0.824561
uid597,597,61,59,31,2,2,52,9,0.852459,0.062236,0.543860
uid598,598,102,102,45,0,0,68,34,0.666667,0.107595,0.789474
uid599,599,117,116,42,1,1,58,59,0.495726,0.122363,0.736842
uid600,600,21,21,16,0,0,8,13,0.380952,0.022152,0.280702
uid601,601,108,106,42,2,2,61,47,0.564815,0.111814,0.736842
uid602,602,198,193,49,5,5,100,98,0.505051,0.203586,0.859649
uid603,603,159,158,47,1,1,101,58,0.635220,0.166667,0.824561
uid604,604,138,136,45,2,2,103,35,0.746377,0.143460,0.789474
uid605,605,172,168,43,4,4,110,62,0.639535,0.177215,0.754386
uid606,606,103,103,38,0,0,58,45,0.563107,0.108650,0.666667
uid607,607,66,65,34,1,1,31,35,0.469697,0.068565,0.596491
uid608,608,116,114,42,2,2,75,41,0.646552,0.120253,0.736842
uid609,609,100,99,38,1,1,73,27,0.730000,0.104430,0.666667
uid610,610,53,52,30,1,1,13,40,0.245283,0.054852,0.526316
uid611,611,107,102,45,5,5,71,36,0.663551,0.107595,0.789474
uid612,612,72,71,35,1,1,34,38,0.472222,0.074895,0.614035
uid613,613,105,103,39,2,2,36,69,0.342857,0.108650,0.684211
uid614,614,75,75,35,0,0,44,31,0.586667,0.079114,0.614035
uid615,615,145,144,43,1,1,125,20,0.862069,0.151899,0.754386
uid616,616,67,66,37,1,1,32,35,0.477612,0.069620,0.649123
uid617,617,188,187,45,1,1,75,113,0.398936,0.197257,0.789474
uid618,618,187,186,48,1,1,121,66,0.647059,0.196203,0.842105
uid619,619,79,78,36,1,1,33,46,0.417722,0.082278,0.631579
uid620,620,153,152,46,1,1,140,13,0.915033,0.160338,0.807018
uid621,621,67,62,34,5,5,37,30,0.552239,0.065401,0.596491
uid622,622,177,173,49,4,4,64,113,0.361582,0.182489,0.859649
uid623,623,79,78,35,1,1,61,18,0.772152,0.082278,0.614035
uid624,624,36,36,25,0,0,24,12,0.666667,0.037975,0.438596
uid625,625,116,115,40,1,1,87,29,0.750000,0.121308,0.701754
uid626,626,179,177,46,2,2,145,34,0.810056,0.186709,0.807018
uid627,627,57,57,34,0,0,34,23,0.596491,0.060127,0.596491
uid628,628,192,191,49,1,1,124,68,0.645833,0.201477,0.859649
uid629,629,101,99,38,2,2,51,50,0.504950,0.104430,0.666667
uid630,630,106,105,40,1,1,69,37,0.650943,0.110759,0.701754
uid631,631,69,68,34,1,1,64,5,0.927536,0.071730,0.596491
uid632,632,62,62,31,0,0,50,12,0.806452,0.065401,0.543860
uid633,633,102,102,42,0,0,37,65,0.362745,0.107595,0.736842
uid634,634,64,63,31,1,1,35,29,0.546875,0.066456,0.543860
uid635,635,100,97,42,3,3,37,63,0.370000,0.102321,0.736842
uid636,636,20,19,14,1,1,7,13,0.350000,0.020042,0.245614
uid637,637,114,112,43,2,2,76,38,0.666667,0.118143,0.754386
uid638,638,187,185,46,2,2,87,100,0.465241,0.195148,0.807018
uid639,639,72,72,33,0,0,22,50,0.305556,0.075949,0.578947
uid640,640,119,118,40,1,1,55,64,0.462185,0.124473,0.701754
uid641,641,91,89,35,2,2,46,45,0.505495,0.093882,0.614035
uid642,642,87,86,37,1,1,50,37,0.574713,0.090717,0.649123
uid643,643,126,126,44,0,0,36,90,0.285714,0.132911,0.771930
uid644,644,183,181,50,2,2,134,49,0.732240,0.190928,0.877193
uid645,645,90,89,42,1,1,46,44,0.511111,0.093882,0.736842
uid646,646,57,57,30,0,0,15,42,0.263158,0.060127,0.526316
uid647,647,143,142,46,1,1,88,55,0.615385,0.149789,0.807018
uid648,648,66,66,34,0,0,46,20,0.696970,0.069620,0.596491
uid649,649,127,124,45,3,3,28,99,0.220472,0.130802,0.789474
uid650,650,169,169,48,0,0,78,91,0.461538,0.178270,0.842105
uid651,651,161,160,51,1,1,90,71,0.559006,0.168776,0.894737
uid652,652,58,58,33,0,0,36,22,0.620690,0.061181,0.578947
uid653,653,69,68,34,1,1,51,18,0.739130,0.071730,0.596491
uid654,654,53,53,33,0,0,12,41,0.226415,0.055907,0.578947
uid655,655,58,56,32,2,2,38,20,0.655172,0.059072,0.561404
uid656,656,101,100,39,1,1,54,47,0.534653,0.105485,0.684211
uid657,657,121,121,43,0,0,97,24,0.801653,0.127637,0.754386
uid658,658,171,166,49,5,5,72,99,0.421053,0.175105,0.859649
uid659,659,73,73,37,0,0,41,32,0.561644,0.077004,0.649123
uid660,660,69,68,34,1,1,60,9,0.869565,0.071730,0.596491
uid661,661,189,188,47,1,1,107,82,0.566138,0.198312,0.824561
uid662,662,174,173,48,1,1,83,91,0.477011,0.182489,0.842105
uid663,663,67,66,35,1,1,38,29,0.567164,0.069620,0.614035
uid664,664,152,151,45,1,1,56,96,0.368421,0.159283,0.789474
uid665,665,166,164,47,2,2,91,75,0.548193,0.172996,0.824561
uid666,666,108,108,44,0,0,64,44,0.592593,0.113924,0.771930
uid667,667,176,172,48,4,4,63,113,0.357955,0.181435,0.842105
uid668,668,177,176,47,1,1,59,118,0.333333,0.185654,0.824561
uid669,669,186,181,51,5,5,48,138,0.258065,0.190928,0.894737
uid670,670,49,48,30,1,1,15,34,0.306122,0.050633,0.526316
uid671,671,47,47,28,0,0,24,23,0.510638,0.049578,0.491228
uid672,672,58,58,33,0,0,36,22,0.620690,0.061181,0.578947
uid673,673,103,102,40,1,1,30,73,0.291262,0.107595,0.701754
uid674,674,102,99,45,3,3,34,68,0.333333,0.104430,0.789474
uid675,675,105,104,38,1,1,90,15,0.857143,0.109705,0.666667
uid676,676,143,142,44,1,1,88,55,0.615385,0.149789,0.771930
uid677,677,126,126,42,0,0,75,51,0.595238,0.132911,0.736842
uid678,678,147,146,45,1,1,86,61,0.585034,0.154008,0.789474
uid679,679,63,62,29,1,1,35,28,0.555556,0.065401,0.508772
uid680,680,187,186,48,1,1,71,116,0.379679,0.196203,0.842105
uid681,681,164,162,47,2,2,58,106,0.353659,0.170886,0.824561
uid682,682,49,48,30,1,1,20,29,0.408163,0.050633,0.526316
uid683,683,32,32,21,0,0,11,21,0.343750,0.033755,0.368421
uid684,684,58,58,36,0,0,36,22,0.620690,0.061181,0.631579
uid685,685,80,80,37,0,0,32,48,0.400000,0.084388,0.649123
uid686,686,120,120,45,0,0,56,64,0.466667,0.126582,0.789474
uid687,687,108,105,42,3,3,87,21,0.805556,0.110759,0.736842
uid688,688,174,174,48,0,0,121,53,0.695402,0.183544,0.842105
uid689,689,97,97,38,0,0,74,23,0.762887,0.102321,0.666667
uid690,690,70,70,39,0,0,33,37,0.471429,0.073840,0.684211
uid691,691,64,61,30,3,3,49,15,0.765625,0.064346,0.526316
uid692,692,136,134,42,2,2,50,86,0.367647,0.141350,0.736842
uid693,693,106,105,37,1,1,57,49,0.537736,0.110759,0.649123
uid694,694,47,47,30,0,0,28,19,0.595745,0.049578,0.526316
uid695,695,153,150,43,3,3,45,108,0.294118,0.158228,0.754386
uid696,696,44,44,28,0,0,16,28,0.363636,0.046414,0.491228
uid697,697,34,34,21,0,0,21,13,0.617647,0.035865,0.368421
uid698,698,58,58,33,0,0,42,16,0.724138,0.061181,0.578947
uid699,699,31,31,25,0,0,4,27,0.129032,0.032700,0.438596
uid700,700,58,58,31,0,0,42,16,0.724138,0.061181,0.543860
uid701,701,131,130,44,1,1,127,4,0.969466,0.137131,0.771930
uid702,702,23,23,18,0,0,12,11,0.521739,0.024262,0.315789
uid703,703,125,124,43,1,1,87,38,0.696000,0.130802,0.754386
uid704,704,66,66,34,0,0,50,16,0.757576,0.069620,0.596491
uid705,705,188,185,48,3,3,85,103,0.452128,0.195148,0.842105
uid706,706,65,64,33,1,1,43,22,0.661538,0.067511,0.578947
uid707,707,62,59,30,3,3,18,44,0.290323,0.062236,0.526316
uid708,708,96,91,41,5,5,72,24,0.750000,0.095992,0.719298
uid709,709,128,127,41,1,1,60,68,0.468750,0.133966,0.719298
uid710,710,183,181,47,2,2,71,112,0.387978,0.190928,0.824561
uid711,711,92,90,36,2,2,46,46,0.500000,0.094937,0.631579
uid712,712,68,68,30,0,0,46,22,0.676471,0.071730,0.526316
uid713,713,76,75,35,1,1,40,36,0.526316,0.079114,0.614035
uid714,714,150,148,44,2,2,50,100,0.333333,0.156118,0.771930
uid715,715,78,77,36,1,1,25,53,0.320513,0.081224,0.631579
uid716,716,125,122,41,3,3,99,26,0.792000,0.128692,0.719298
uid717,717,76,76,38,0,0,64,12,0.842105,0.080169,0.666667
uid718,718,183,180,47,3,3,39,144,0.213115,0.189873,0.824561
uid719,719,137,136,41,1,1,90,47,0.656934,0.143460,0.719298
uid720,720,176,175,42,1,1,53,123,0.301136,0.184599,0.736842
uid721,721,48,48,31,0,0,30,18,0.625000,0.050633,0.543860
uid722,722,112,111,39,1,1,77,35,0.687500,0.117089,0.684211
uid723,723,159,158,45,1,1,86,73,0.540881,0.166667,0.789474
uid724,724,182,181,46,1,1,182,0,1.000000,0.190928,0.807018
uid725,725,69,69,35,0,0,58,11,0.840580,0.072785,0.614035
uid726,726,33,33,23,0,0,6,27,0.181818,0.034810,0.403509
uid727,727,104,103,40,1,1,32,72,0.307692,0.108650,0.701754
uid728,728,56,56,32,0,0,32,24,0.571429,0.059072,0.561404
uid729,729,45,45,29,0,0,16,29,0.355556,0.047468,0.508772
uid730,730,92,90,39,2,2,50,42,0.543478,0.094937,0.684211
uid731,731,81,81,38,0,0,32,49,0.395062,0.085443,0.666667
uid732,732,193,192,49,1,1,63,130,0.326425,0.202532,0.859649
uid733,733,103,102,42,1,1,81,22,0.786408,0.107595,0.736842
uid734,734,60,60,32,0,0,22,38,0.366667,0.063291,0.561404
uid735,735,100,93,47,7,7,65,35,0.650000,0.098101,0.824561
uid736,736,159,158,47,1,1,125,34,0.786164,0.166667,0.824561
uid737,737,84,80,42,4,4,34,50,0.404762,0.084388,0.736842
uid738,738,116,112,42,4,4,49,67,0.422414,0.118143,0.736842
uid739,739,173,172,46,1,1,84,89,0.485549,0.181435,0.807018
uid740,740,146,144,40,2,2,49,97,0.335616,0.151899,0.701754
uid741,741,59,59,31,0,0,39,20,0.661017,0.062236,0.543860
uid742,742,156,153,48,3,3,104,52,0.666667,0.161392,0.842105
uid743,743,129,127,41,2,2,88,41,0.682171,0.133966,0.719298
uid744,744,44,44,25,0,0,32,12,0.727273,0.046414,0.438596
uid745,745,168,168,47,0,0,54,114,0.321429,0.177215,0.824561
uid746,746,168,164,49,4,4,141,27,0.839286,0.172996,0.859649
uid747,747,160,159,44,1,1,119,41,0.743750,0.167722,0.771930
uid748,748,137,136,48,1,1,99,38,0.722628,0.143460,0.842105
uid749,749,104,104,39,0,0,60,44,0.576923,0.109705,0.684211
uid750,750,147,146,46,1,1,74,73,0.503401,0.154008,0.807018
uid751,751,105,103,45,2,2,98,7,0.933333,0.108650,0.789474
uid752,752,118,118,40,0,0,29,89,0.245763,0.124473,0.701754
uid753,753,107,107,44,0,0,70,37,0.654206,0.112869,0.771930
uid754,754,196,196,49,0,0,146,50,0.744898,0.206751,0.859649
uid755,755,177,176,45,1,1,152,25,0.858757,0.185654,0.789474
uid756,756,159,158,44,1,1,70,89,0.440252,0.166667,0.771930
uid757,757,126,124,41,2,2,31,95,0.246032,0.130802,0.719298
uid758,758,145,144,45,1,1,83,62,0.572414,0.151899,0.789474
uid759,759,47,47,31,0,0,46,1,0.978723,0.049578,0.543860
uid760,760,128,126,43,2,2,105,23,0.820312,0.132911,0.754386
uid761,761,165,162,46,3,3,96,69,0.581818,0.170886,0.807018
uid762,762,77,76,35,1,1,27,50,0.350649,0.080169,0.614035
uid763,763,71,67,37,4,4,34,37,0.478873,0.070675,0.649123
uid764,764,92,90,39,2,2,26,66,0.282609,0.094937,0.684211
uid765,765,65,64,30,1,1,19,46,0.292308,0.067511,0.526316
uid766,766,147,141,47,6,6,83,64,0.564626,0.148734,0.824561
uid767,767,129,128,44,1,1,38,91,0.294574,0.135021,0.771930
uid768,768,17,17,14,0,0,7,10,0.411765,0.017932,0.245614
uid769,769,28,27,22,1,1,12,16,0.428571,0.028481,0.385965
uid770,770,108,107,42,1,1,64,44,0.592593,0.112869,0.736842
uid771,771,52,52,29,0,0,11,41,0.211538,0.054852,0.508772
uid772,772,184,181,46,3,3,142,42,0.771739,0.190928,0.807018
uid773,773,104,103,40,1,1,67,37,0.644231,0.108650,0.701754
uid774,774,49,48,29,1,1,11,38,0.224490,0.050633,0.508772
uid775,775,56,56,32,0,0,26,30,0.464286,0.059072,0.561404
uid776,776,58,58,33,0,0,34,24,0.586207,0.061181,0.578947
uid777,777,111,111,44,0,0,78,33,0.702703,0.117089,0.771930
uid778,778,27,27,19,0,0,15,12,0.555556,0.028481,0.333333
uid779,779,195,194,47,1,1,74,121,0.379487,0.204641,0.824561
uid780,780,138,138,47,0,0,40,98,0.289855,0.145570,0.824561
uid781,781,106,106,37,0,0,67,39,0.632075,0.111814,0.649123
uid782,782,88,87,39,1,1,21,67,0.238636,0.091772,0.684211
uid783,783,165,163,45,2,2,60,105,0.363636,0.171941,0.789474
uid784,784,162,161,43,1,1,70,92,0.432099,0.169831,0.754386
uid785,785,148,147,41,1,1,110,38,0.743243,0.155063,0.719298
uid786,786,78,75,38,3,3,38,40,0.487179,0.079114,0.666667
uid787,787,66,62,32,4,4,44,22,0.666667,0.065401,0.561404
uid788,788,105,102,41,3,3,50,55,0.476190,0.107595,0.719298
uid789,789,62,60,39,2,2,51,11,0.822581,0.063291,0.684211
uid790,790,33,33,25,0,0,19,14,0.575758,0.034810,0.438596
uid791,791,100,98,38,2,2,51,49,0.510000,0.103376,0.666667
